Words,Count,Adjusted_Freq,Valence,Subjectivity,,
clumsy,1,8.40548E-05,-0.3,0.4,,
LortabsOxyContin,1,8.40548E-05,0,0,,
Paraprofessional,1,8.40548E-05,0,0,,
long,28,0.002353535,-0.05,0.4,,
suspended,5,0.000420274,0,0,,
impossible,4,0.000336219,-0.666666667,1,,
raped,1,8.40548E-05,0,0,,
open,8,0.000672438,0,0.5,,
pickingup,1,8.40548E-05,0,0,,
disinterested,3,0.000252164,0,0,,
little,23,0.00193326,-0.1875,0.5,,
silent,1,8.40548E-05,0,0.1,,
plastic,1,8.40548E-05,0,0,,
clinical,2,0.00016811,0,0,,
8month,1,8.40548E-05,0,0,,
1g,20,0.001681096,0,0,,
white,4,0.000336219,0,0,,
12XMonth,12,0.001008658,0,0,,
participated,1,8.40548E-05,0,0,,
speaking,1,8.40548E-05,0,0,,
paved,1,8.40548E-05,0,0,,
Keeping,1,8.40548E-05,0,0,,
continuous,2,0.00016811,0,0,,
released,7,0.000588384,0,0,,
ridiculous,1,8.40548E-05,-0.333333333,1,,
attempt,1,8.40548E-05,0,0,,
wide,1,8.40548E-05,-0.1,0.4,,
13,2,0.00016811,0,0,,
14,10,0.000840548,0,0,,
depressed,61,0.005127343,0,0,,
rival,2,0.00016811,0,0,,
transferred,1,8.40548E-05,0,0,,
karate,1,8.40548E-05,0,0,,
rehab,5,0.000420274,0,0,,
future,16,0.001344877,0,0.125,,
individualized,1,8.40548E-05,0,0,,
20s,5,0.000420274,0,0,,
10xyear,1,8.40548E-05,0,0,,
singlemother,1,8.40548E-05,0,0,,
sad,26,0.002185425,-0.5,1,,
Calm,5,0.000420274,0.3,0.75,,
insatiable,1,8.40548E-05,0,0,,
unsuitable,1,8.40548E-05,0,0,,
potential,1,8.40548E-05,0,1,,
online,32,0.002689754,0,0,,
interior,2,0.00016811,0,0,,
blunt,1,8.40548E-05,0,0,,
switching,1,8.40548E-05,0,0,,
sure,17,0.001428932,0.5,0.888888889,,
multiple,78,0.006556275,0,0,,
normal,38,0.003194083,0.15,0.65,,
Healthy,1,8.40548E-05,0.5,0.5,,
paid,1,8.40548E-05,0,0,,
37current,1,8.40548E-05,0,0,,
assault,15,0.001260822,0,0,,
Sporadic,2,0.00016811,0,0,,
DHS,3,0.000252164,0,0,,
surprising,1,8.40548E-05,0.7,0.5,,
average,10,0.000840548,-0.15,0.4,,
later,21,0.001765151,0,0,,
steady,6,0.000504329,0.166666667,0.5,,
halfsister,2,0.00016811,0,0,,
crooked,2,0.00016811,0,0.1,,
jittery,2,0.00016811,0,0,,
professional,9,0.000756493,0.1,0.1,,
senior,29,0.002437589,0,0,,
Substitute,1,8.40548E-05,0,0,,
walking,1,8.40548E-05,0,0,,
shot,6,0.000504329,0,0,,
aggressive,3,0.000252164,0,0,,
fifth,3,0.000252164,0,0,,
slow,2,0.00016811,-0.3,0.4,,
enough,18,0.001512986,0,0.5,,
dull,1,8.40548E-05,-0.291666667,0.5,,
only,62,0.005211398,0,1,,
black,8,0.000672438,-0.166666667,0.433333333,,
assistant,2,0.00016811,0,0,,
horrible,2,0.00016811,-1,1,,
unimportant,1,8.40548E-05,-0.4,0.95,,
hailed,1,8.40548E-05,0,0,,
Similar,1,8.40548E-05,0,0.4,,
secondary,1,8.40548E-05,-0.3,0.3,,
OffSeason,1,8.40548E-05,0,0,,
1824,1,8.40548E-05,0,0,,
worried,1,8.40548E-05,0,0,,
naked,1,8.40548E-05,0,0.4,,
stupid,10,0.000840548,-0.8,1,,
finishing,4,0.000336219,0,0,,
xmas,1,8.40548E-05,0,0,,
medicated,1,8.40548E-05,0,0,,
18present,1,8.40548E-05,0,0,,
committed,3,0.000252164,0,0,,
relative,2,0.00016811,0,0,,
asleep,5,0.000420274,0,0,,
underpaid,1,8.40548E-05,0,0,,
professed,1,8.40548E-05,0,0,,
federal,1,8.40548E-05,0,0,,
outside,34,0.002857863,0,0.05,,
herbal,1,8.40548E-05,0,0,,
reading,7,0.000588384,0,0,,
grandpas,1,8.40548E-05,0,0,,
